#  normal noHH  noTT  fairy noHeavyPlaout goalCheck
3  27.08  19.33 30.41 67.94 25.67         25.05
10 37.25  29.47 45.74 66.35 34.57         37.82
30 31.69  21.56 51.54 62.36 24.22         23.97
